speed_0,speed_1,grabMsec,tram_mode_dbw_feedback,tram_mode_applied_control,m_speed_mode_driver,episode
17.0,16.68,47146,9,0,9,new.003.002.
17.0,17.44,47243,9,0,9,new.003.002.
17.830000000000002,17.44,47347,9,0,9,new.003.002.
17.830000000000002,18.28,47448,9,0,9,new.003.002.
18.650000000000002,18.28,47551,9,0,9,new.003.002.
18.650000000000002,19.1,47654,9,0,9,new.003.002.
19.45,19.1,47756,9,0,9,new.003.002.
20.27,20.05,47874,9,0,9,new.003.002.
20.27,20.6,47975,9,0,9,new.003.002.
21.07,20.6,48080,7,0,7,new.003.002.
21.07,21.56,48170,7,0,7,new.003.002.
21.79,21.56,48276,7,0,7,new.003.002.
21.79,22.07,48378,7,0,7,new.003.002.
22.45,22.07,48469,5,0,5,new.003.002.
22.45,22.64,48571,5,0,5,new.003.002.
23.21,22.64,48679,3,0,3,new.003.002.
23.21,23.13,48781,3,0,3,new.003.002.
23.37,23.13,48871,3,0,3,new.003.002.
23.37,23.6,48984,3,0,3,new.003.002.
23.68,23.6,49076,3,0,3,new.003.002.
23.68,23.76,49180,3,0,3,new.003.002.
23.92,23.76,49284,3,0,3,new.003.002.
23.92,24.13,49393,3,0,3,new.003.002.
24.28,24.13,49486,3,0,3,new.003.002.
24.28,24.41,49590,3,0,3,new.003.002.
24.59,24.41,49702,3,0,3,new.003.002.
24.59,24.76,49795,3,0,3,new.003.002.
25.01,24.76,49896,15,0,0,new.003.002.
25.01,25.02,49996,15,0,0,new.003.002.
25.29,25.02,50100,15,0,0,new.003.002.
25.29,25.05,50205,15,0,0,new.003.002.
24.95,25.05,50297,15,0,0,new.003.002.
24.95,24.86,50400,15,0,0,new.003.002.
25.400000000000002,25.13,50501,15,0,0,new.003.002.
25.400000000000002,25.13,50604,15,0,0,new.003.002.
24.95,24.95,50708,15,0,0,new.003.002.
24.95,24.95,50811,15,0,0,new.003.002.
25.310000000000002,25.080000000000002,50913,15,0,0,new.003.002.
25.310000000000002,25.080000000000002,51068,15,0,3,new.003.002.
24.84,24.990000000000002,51119,3,0,3,new.003.002.
24.84,24.990000000000002,51314,3,0,3,new.003.002.
25.16,24.98,51416,3,0,3,new.003.002.
25.16,24.98,51518,3,0,3,new.003.002.
24.8,25.060000000000002,51620,3,0,3,new.003.002.
24.8,25.060000000000002,51722,3,0,3,new.003.002.
25.1,24.93,51823,3,0,3,new.003.002.
25.1,24.93,51929,3,0,3,new.003.002.
24.95,25.060000000000002,52026,5,0,5,new.003.002.
24.95,25.060000000000002,52128,7,0,7,new.003.002.
25.11,25.27,52231,7,0,7,new.003.002.
25.11,25.27,52333,7,0,7,new.003.002.
25.54,25.52,52435,7,0,7,new.003.002.
25.85,25.52,52539,7,0,7,new.003.002.
25.85,26.0,52643,7,0,7,new.003.002.
26.36,26.0,52737,7,0,7,new.003.002.
26.36,26.51,52839,7,0,7,new.003.002.
26.86,26.51,52942,7,0,7,new.003.002.
26.86,26.98,53043,7,0,7,new.003.002.
27.39,26.98,53145,7,0,7,new.003.002.
27.39,27.5,53256,7,0,7,new.003.002.
27.96,27.5,53352,7,0,7,new.003.002.
27.96,28.02,53453,7,0,7,new.003.002.
28.47,28.02,53547,7,0,7,new.003.002.
28.47,28.650000000000002,53652,7,0,7,new.003.002.
28.94,28.650000000000002,53754,7,0,7,new.003.002.
28.94,29.14,53856,7,0,7,new.003.002.
29.51,29.14,53958,7,0,7,new.003.002.
29.51,29.52,54060,7,0,7,new.003.002.
30.11,29.52,54166,7,0,7,new.003.002.
30.11,30.27,54259,7,0,7,new.003.002.
30.73,30.27,54362,7,0,7,new.003.002.
30.73,30.900000000000002,54464,5,0,5,new.003.002.
31.18,30.900000000000002,54565,5,0,5,new.003.002.
31.18,31.330000000000002,54667,5,0,5,new.003.002.
31.61,31.330000000000002,54774,5,0,5,new.003.002.
31.61,31.71,54872,5,0,5,new.003.002.
31.94,31.71,54974,5,0,5,new.003.002.
31.94,32.08,55079,3,0,3,new.003.002.
32.39,32.08,55178,3,0,3,new.003.002.
32.39,32.53,55283,15,0,0,new.003.002.
32.64,32.53,55379,15,0,0,new.003.002.
32.64,32.88,55480,15,0,0,new.003.002.
32.84,32.88,55582,15,0,0,new.003.002.
32.84,32.96,55684,15,0,0,new.003.002.
32.78,32.96,55789,15,0,3,new.003.002.
32.78,32.58,55890,3,0,3,new.003.002.
32.96,32.58,55993,3,0,3,new.003.002.
32.96,32.84,56087,3,0,3,new.003.003.
32.61,32.84,56194,3,0,3,new.003.003.
32.61,33.18,56297,3,0,3,new.003.003.
32.94,33.18,56398,3,0,3,new.003.003.
33.2,32.52,56509,3,0,3,new.003.003.
